fecha,hora,fecha_completa,nombre,dni,edad,sexo,direccion,barrio,metodo,latitud,longitud,año,mes,dia_semana,antecedentes
1980-01-08,19:14,2022-05-17 19:14,María Del Carmen Lamas Aroca,95899313P,49,Femenino,"Calle C. Cleto Palomar, 44, Jesús, Valencia",Jesús,Ahorcamiento,39.436201,-0.356747,1980,1,Tuesday,Duelo reciente
1980-01-13,18:41,2016-10-22 18:41,Calista Cuesta Roca,17270733X,42,Femenino,"Carrer Avenida de Marisol Arévalo, 105, 2º2, Benimaclet, Valencia",Benimaclet,Ahorcamiento,39.489371,-0.359388,1980,1,Saturday,Trastorno bipolar
1980-01-15,14:59,2016-09-24 14:59,Dimas Barco Hernando,50264926J,37,Masculino,"Plaza Plaza de Dani Parejo, 53, Russafa, Valencia",Russafa,Ahorcamiento,39.455286,-0.368711,1980,1,Saturday,Trastorno bipolar
1980-01-17,19:17,2009-10-19 19:17,Cecilio Sala Roma,90014570E,39,Masculino,"Carrer Plaza Nazario Castrillo, 87, 6ºB, Patraix, Valencia",Patraix,Intoxicación medicamentosa,39.450549,-0.412748,1980,1,Monday,
1980-01-17,07:02,2017-05-16 07:02,Nicodemo Cabello Barrera,87388337K,53,Masculino,"Plaça Ronda de Segismundo Solera, 112, Ciutat Vella, Valencia",Ciutat Vella,Precipitación,39.473243,-0.371915,1980,1,Tuesday,Problemas económicos
1980-01-24,09:05,1988-08-24 09:05,Jenaro Cabo Beltrán,66581473S,41,Masculino,"Plaza Pasaje de Maximiano Belmonte, 98, La Xerea, Valencia",La Xerea,Intoxicación medicamentosa,39.491706,-0.375308,1980,1,Wednesday,Enfermedad crónica
1980-02-02,14:55,2001-02-25 14:55,Dionisia Alberdi-Carbó,20117988A,38,Femenino,"Avenida C. Rico Solé, 138, L'Eixample, Valencia",L'Eixample,Ahorcamiento,39.455172,-0.380638,1980,2,Sunday,
1980-02-03,08:48,2015-04-12 08:48,Arturo Gil Guerrero,30868105N,31,Masculino,"Plaça Camino Telmo Antón, 108, 5ºA, Quatre Carreres, Valencia",Quatre Carreres,Precipitación,39.443127,-0.341049,1980,2,Sunday,Duelo reciente
1980-02-05,15:05,1988-05-06 15:05,Aníbal Guerrero Cabrero,28566572C,50,Masculino,"Plaça Avenida Artemio Goñi, 68, Quatre Carreres, Valencia",Quatre Carreres,Ahorcamiento,39.456725,-0.362709,1980,2,Friday,Depresión diagnosticada
1980-02-11,14:15,2018-08-05 14:15,Eligio Chaparro Huerta,79467853R,60,Masculino,"Plaça C. de Soledad Segarra, 52, Malvarrosa, Valencia",Malvarrosa,Ahorcamiento,39.465233,-0.312494,1980,2,Sunday,Abuso de sustancias
